CustomerID,date_size,date_recency,date_time_between,date_T,baseket_value_sum,baseket_value_mean,baseket_value_std,baseket_value_amax,baseket_value_amin,baseket_value_median,basket_size_sum,basket_size_mean,basket_size_std,basket_size_amax,basket_size_amin,basket_size_median,lag_12,lag_11,lag_10,lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1,value
12747,20,352,18,359,4610.02,230.50099999999998,189.4377361,715.1,-31.8,285.285,1350,67.5,57.95869673,201,-4,64.0,1000.2,0.0,236.35,202.64,190.43,267.37,646.75,0.0,629.68,0.0,1047.75,388.85,7.390074130494925
12748,91,360,4,362,18904.63,207.7431868,272.5852392,1311.77,-309.73,127.06,11534,126.7472527,203.3228737,1240,-110,43.0,994.48,679.4,1725.15,1046.15,241.94,1205.59,700.76,746.5,2643.18,2177.74,2511.67,4232.07,7.447269703152656
12749,6,136,27,148,2460.29,410.0483333,594.8901099999999,1198.82,-183.05,353.205,849,141.5,182.0337881,408,-24,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.55,0.0,0.0,1015.77,679.97,7.271708765248445
12820,8,337,48,361,1705.6,213.2,128.0079428,371.56,-41.58,217.89,1206,150.75,136.3878398,369,-38,142.5,148.3,334.99,371.56,0.0,0.0,186.87,0.0,207.33,0.0,0.0,278.0,178.55,7.0077387510168245
12823,10,285,31,306,4742.0,474.2,510.8380478,1912.5,190.5,317.5,700,70.0,64.46359869,250,30,50.0,0.0,416.5,0.0,508.0,317.5,317.5,381.0,508.0,0.0,381.0,0.0,1912.5,7.28108005528013
12826,7,317,52,348,1305.57,186.51,175.82840330000002,458.2,-10.51,134.3,855,122.1428571,109.85054779999999,268,-1,98.0,458.2,-10.51,0.0,0.0,0.0,0.0,0.0,307.66,290.92,0.0,259.3,0.0,6.931510384933386
12836,10,349,38,365,3933.61,393.361,126.20942849999999,641.4,209.29,391.575,1168,116.8,70.9879489,280,58,103.5,423.87,260.0,331.85,412.49,425.6,0.0,326.85,370.66,209.29,0.0,531.6,641.4,7.296117938388534
12838,9,205,25,219,2302.11,255.79,182.81690659999998,639.01,-7.6,226.35,1251,139.0,93.57216466,278,-4,123.0,0.0,0.0,0.0,0.0,228.05,86.65,217.54,0.0,0.0,980.25,589.57,200.05,7.41749096418083
12839,15,353,25,359,3941.6,262.7733333,195.5129593,593.08,-114.6,303.95,2679,178.6,142.2973747,399,-84,190.0,969.78,10.7,0.0,302.52,460.43,282.45,0.0,329.8,494.88,0.0,215.86,875.18,7.001941229805084
12840,5,237,59,301,1299.6,259.92,308.3159273,673.51,-11.7,150.0,739,147.8,166.70992769999998,359,-6,104.0,0.0,0.0,146.1,-11.7,0.0,0.0,491.69,0.0,0.0,673.51,0.0,0.0,7.315232530704222
