response,location_E,location_N,location_S,location_W,member_type_C,member_type_N,member_type_R,member_type_S,member_type_T,level_tenure,member_score,num_promoted,account_bal
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31513260530421217,0.0,0.0,0.27925188870462503
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.30265210608424337,0.6958333333333333,0.0,0.2556661138750691
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2043681747269891,0.2749999999999999,0.0,0.33609729132117194
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27301092043681746,0.6333333333333333,0.0,0.2937166021743136
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1232449297971919,0.7541666666666669,0.0,0.38990234015109637
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2106084243369735,0.6750000000000003,0.0,0.3331490694674774
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1482059282371295,0.6791666666666667,0.0,0.2023217247097844
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2542901716068643,0.5541666666666667,0.0,0.33959830477243413
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1107644305772231,0.6750000000000003,0.0,0.2492168785701124
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.296411856474259,1.0,0.0,0.26137829371660215
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2480499219968799,0.8666666666666667,0.0,0.3561820526994656
1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3837753510140406,0.47083333333333366,0.0,0.15717707757508753
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2792511700468019,0.6291666666666669,0.0,0.35415515017505067
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2043681747269891,0.7749999999999999,0.0,0.2882808181315644
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0873634945397816,0.0,0.0,0.24875621890547264
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0499219968798752,0.8958333333333335,0.0,0.36705362078496406
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2293291731669267,0.5874999999999999,0.0,0.24074074074074076
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2792511700468019,0.7833333333333337,0.0,0.09793624470241385
0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1294851794071763,0.2541666666666669,0.0,0.2952828450340888
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26053042121684866,0.75,0.0,0.3589460106873042
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1170046801872075,0.7791666666666668,1.0,0.2775935139119219
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1731669266770671,0.8041666666666667,0.0,0.20803390455131748
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2792511700468019,0.2666666666666666,0.0,0.3524046434494196
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21838928932921434,0.8416666666666668,0.0,0.18113138013635527
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1981279251170047,0.48750000000000027,0.0,0.13055094895890917
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37753510140405616,0.9875000000000003,0.0,0.3606043854800074
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3837753510140406,0.8166666666666669,0.0,0.3817947300534365
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1918876755070203,0.6208333333333336,0.0,0.21936613230145569
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1918876755070203,0.9750000000000001,0.0,0.0
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2418096723868955,0.7124999999999999,0.0,0.2912290399852589
0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1731669266770671,0.22083333333333366,0.0,0.3658559056569007
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2293291731669267,0.0,0.0,0.3761746821448314
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2480499219968799,0.5333333333333337,0.0,0.33609729132117194
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1357254290171607,0.6625000000000001,0.0,0.33287267366869355
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1357254290171607,0.0,0.0,0.22609176340519624
0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3837753510140406,0.7083333333333335,0.0,0.3149069467477428
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0686427457098284,0.8833333333333333,0.0,0.32863460475400774
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3088923556942278,0.8875000000000002,0.0,0.04348627234199374
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.34009360374414976,0.9291666666666667,0.0,0.3728579325594251
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1856474258970359,0.7250000000000001,0.0,0.2228671457527179
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1482059282371295,0.7458333333333336,0.0,0.34263865855905656
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1606864274570983,0.9208333333333334,0.0,0.3126957803574719
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2667706708268331,0.6458333333333335,0.0,0.21208770960014742
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1170046801872075,0.8708333333333336,0.0,0.31647318960751797
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1794071762870515,0.7708333333333335,0.0,0.30385111479638843
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30265210608424337,0.0,0.0,0.21245623733185923
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0811232449297972,0.0,0.0,0.2467293163810577
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32761310452418096,0.0,0.0,0.18361894232540998
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1482059282371295,0.5874999999999999,0.0,0.3589460106873042
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2480499219968799,0.9666666666666668,0.0,0.23797678275290216
1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2043681747269891,0.4208333333333334,0.0,0.1970702045328911
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2667706708268331,1.0,0.0,0.23530495669799154
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32761310452418096,0.04166666666666696,0.0,0.32015846692463606
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2043681747269891,0.07916666666666661,0.0,0.36705362078496406
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1170046801872075,0.4666666666666668,0.0,0.2877280265339967
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1045241809672387,0.5916666666666668,0.0,0.3517597199189239
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26053042121684866,0.0,0.0,0.22259074995393405
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1981279251170047,0.7375000000000003,0.0,0.2406486088078128
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2667706708268331,0.8333333333333335,0.0,0.3524046434494196
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1981279251170047,0.8250000000000002,0.0,0.29638842822922423
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1794071762870515,0.0,0.0,0.10843928505620049
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2667706708268331,0.604166666666667,0.0,0.2202874516307352
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1357254290171607,0.7375000000000003,0.0,0.29813893495485533
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1232449297971919,0.7541666666666669,0.0,0.36548737792518887
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3088923556942278,0.979166666666667,0.0,0.2740925004606597
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3213728549141966,0.0,0.0,0.3646581905288373
