median_house_value,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,population_per_household
11.885867381372833,-116.52,33.82,mid old,10227.0,2315.0,3623.0,1734.0,2.5212,INLAND,5.897923875432526,2.0893886966551327
11.669929213779893,-122.94,38.5,old,2280.0,492.0,807.0,366.0,2.6316,<1H OCEAN,6.229508196721311,2.2049180327868854
12.483325522491416,-122.49,37.63,old,3109.0,621.0,1472.0,618.0,5.155,NEAR OCEAN,5.03074433656958,2.381877022653722
12.005790763359226,-118.11,34.06,mid old,2416.0,565.0,1750.0,514.0,2.8229,<1H OCEAN,4.700389105058366,3.404669260700389
12.372010723073604,-120.66,35.13,old,2666.0,751.0,940.0,507.0,1.9653,<1H OCEAN,5.258382642998027,1.8540433925049309
11.768342576834733,-122.32,37.92,old,4649.0,977.0,2606.0,953.0,3.2674,NEAR BAY,4.8782791185729275,2.734522560335782
12.948009990259552,-122.42,37.8,old,1777.0,486.0,932.0,427.0,3.3643,NEAR BAY,4.161592505854801,2.1826697892271665
11.998433280751929,-122.05,37.63,new,3785.0,936.0,2240.0,792.0,3.2829,NEAR BAY,4.779040404040404,2.8282828282828283
12.581765595304669,-121.85,37.26,mid old,1816.0,241.0,793.0,234.0,6.8194,<1H OCEAN,7.760683760683761,3.388888888888889
11.183031543709138,-119.81,36.79,old,2471.0,460.0,1118.0,431.0,2.4167,INLAND,5.7331786542923435,2.593967517401392
12.206072645530174,-122.93,38.02,old,1284.0,265.0,628.0,219.0,3.5469,NEAR OCEAN,5.863013698630137,2.867579908675799
10.829728615263452,-121.26,37.97,old,1189.0,295.0,891.0,292.0,2.5536,INLAND,4.071917808219178,3.0513698630136985
13.122365377402328,-118.36,34.1,old,1096.0,247.0,423.0,230.0,3.0179,<1H OCEAN,4.765217391304348,1.8391304347826087
11.982929094215963,-117.14,32.76,old,1785.0,493.0,965.0,506.0,2.0792,NEAR OCEAN,3.527667984189723,1.907114624505929
11.673342186376134,-117.48,34.08,old,1922.0,382.0,1565.0,340.0,3.915,INLAND,5.652941176470589,4.602941176470588
12.784650371346983,-121.95,37.78,new,14652.0,2826.0,5613.0,2579.0,6.3942,<1H OCEAN,5.681271810779372,2.1764249709189607
11.691071650353702,-121.33,38.64,old,2203.0,493.0,1158.0,492.0,2.4342,INLAND,4.477642276422764,2.3536585365853657
12.296370283510955,-118.03,33.77,old,2000.0,310.0,880.0,294.0,5.635,<1H OCEAN,6.802721088435374,2.993197278911565
13.122365377402328,-122.11,37.31,new,189.0,26.0,84.0,29.0,13.8093,<1H OCEAN,6.517241379310345,2.896551724137931
12.18229211686477,-118.0,34.08,old,2003.0,401.0,1520.0,364.0,3.9939999999999998,INLAND,5.502747252747253,4.175824175824176
11.80634106926977,-117.43,34.12,new,5954.0,1071.0,3567.0,1070.0,3.2056,INLAND,5.564485981308411,3.333644859813084
12.090100469277752,-118.44,34.19,mid old,2891.0,951.0,2166.0,768.0,2.891,<1H OCEAN,3.7643229166666665,2.8203125
